users_id,users_trades_id,users_trades_createdAtDatetime,users_trades_sourceAmount,users_trades_targetAmount,users_trades_tradingFeeAmount,users_trades_pair_id,users_trades_pair_token0_id,users_trades_pair_token0_symbol,users_trades_pair_token1_id,users_trades_pair_token1_symbol
0x160f5f00288e9e1cc8655b327e081566e580a71d,0x330868dcec1ddd9a9018f8b103441bbf3a6b9e606a3151367dc24cdce4d55d250b000000,2023-04-22 12:02:59,370000000000000000,761192185,1525436,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,ETH
0x160f5f00288e9e1cc8655b327e081566e580a71d,0xe08d118e29bdd28826835cbd3383f54472f80f9ada3e68221ff002fbe425125b03000000,2023-04-21 11:52:35,5189000000000000000,9994800738,20029661,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,ETH
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xba436c9b79ef4866ff72273fd90de8082173ff22725aa4a747d365ffa426026927000000,2024-03-25 13:10:59,2094924086,147345278295151211966085,295281118827958340614,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x99bf1a69c91d09309491b15d79765dd27ffeb36fb61ba03818afa0df5898ebca52000000,2024-03-25 11:38:11,3017727563,217693587801005871601788,436259694991995734673,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x77dcb3c4a60b2fce5a81ccf986bedcfe4fb8021d17ca41e90049256e5337b9b06c000000,2024-03-25 11:24:47,4568647549,3379993902620991177254,6773534874991966288,0xc2544a32872a91f4a553b404c6950e89de901fdb-0xdac17f958d2ee523a2206206994597c13d831ec7,0xc2544a32872a91f4a553b404c6950e89de901fdb,FPIS,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x4fc29ae9edf1bc40134516b7fa8e83df1dccbea483dbec23e7e3e03098d4e979aa000000,2024-03-24 19:03:23,3067137202,2278590635287884559973,4566313898372514149,0xc2544a32872a91f4a553b404c6950e89de901fdb-0xdac17f958d2ee523a2206206994597c13d831ec7,0xc2544a32872a91f4a553b404c6950e89de901fdb,FPIS,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xfe817ea7b3a3079d844d9ada3e31ca171a37bf8363225de3b64346ba1132d45b11000000,2024-03-24 10:46:59,3435000000,498999999999,1000000000,0x07150e919b4de5fd6a63de1f9384828396f25fdc-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x07150e919b4de5fd6a63de1f9384828396f25fdc,BASE,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xa304cfd1cece465a826e7f08e9aecb6e400a4a26e117a475f7f09b0c1548a72827000000,2024-03-23 11:31:23,71833192220168690613,308137759554611667997,617510540189602542,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x43c361e711d3ad8ab98050fa0c2c9dc170a26ecccc124379f5c4d5ef250642e41c000000,2024-03-22 22:13:47,4718526817,3503181876147544907899,7020404561417925668,0xc2544a32872a91f4a553b404c6950e89de901fdb-0xdac17f958d2ee523a2206206994597c13d831ec7,0xc2544a32872a91f4a553b404c6950e89de901fdb,FPIS,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x85cf22d7a25adb5d1d77f2bd105793620e5714a9d674efcae259c5e2a29fb7f433000000,2024-03-22 20:46:35,1261644193,995765208105485776302,1995521459129230013,0xc2544a32872a91f4a553b404c6950e89de901fdb-0xdac17f958d2ee523a2206206994597c13d831ec7,0xc2544a32872a91f4a553b404c6950e89de901fdb,FPIS,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT
